id,influencer_id,url,post,follower,like,comment,react_rate,desire_to_mimic,sWOM,purchase_intention
1,0,https://instagram.com/joganghwa,26,115311,34707,695,0.005060657,,,
2,1,https://instagram.com/suerte02,19,110488,18467,283,0.003827858,,,
3,2,https://instagram.com/richeunha,40,102672,40596,170,0.004254116,,,
4,3,https://instagram.com/yui_zzang_kang,17,96854,2706,78,0.000724646,,,
5,6,https://instagram.com/kimsang90,12,96194,0,0,0,,,
6,7,https://instagram.com/ssomin__lee,19,97891,15334,59,0.00354691,,,
7,8,https://instagram.com/shj0154,64,105817,59120,1719,0.003850081,,,
8,9,https://instagram.com/jeiannsj,48,97000,53514,743,0.004994201,,,
9,13,https://instagram.com/qtd___,57,333878,198379,4017,0.004557876,,,
10,15,https://instagram.com/9494_ho,28,93669,1235,3,0.000202297,,,
11,16,https://instagram.com/p_kangaroo,1,79251,0,0,0,,,
12,18,https://instagram.com/chul2gram,46,93622,28968,651,0.002947527,,,
13,20,https://instagram.com/stephany.02.28_official_,3,5,15,20,1,,,
14,22,https://instagram.com/h_double_o_n,32,129987,54008,1209,0.005689133,,,
15,23,https://instagram.com/soobakc83,12,92420,7203,70,0.002810539,,,
16,26,https://instagram.com/seoji72,34,108459,46123,1187,0.005498341,,,
17,28,https://instagram.com/ekfgo90,2,88381,2266,2,0.005498919,,,
18,31,https://instagram.com/elly0126,22,85064,9134,206,0.002138955,,,
19,32,https://instagram.com/kimyamjeon,37,82311,24220,157,0.003430393,,,
20,36,https://instagram.com/yomooly,8,88729,8693,34,0.005269054,,,
21,37,https://instagram.com/k__mwsister,14,90479,5800,175,0.002021554,,,
22,43,https://instagram.com/s1091717,40,104491,36814,854,0.003862397,,,
23,46,https://instagram.com/angkkosarang,46,10455,11298,32,0.010096509,,,
24,50,https://instagram.com/hhh_jinly,11,10625,2705,108,0.01031505,,,
25,51,https://instagram.com/smjh416,5,16033,105,7,0.000598765,,,
26,56,https://instagram.com/soojeong0525,13,20133,1827,38,0.003053868,,,
27,57,https://instagram.com/plp._.plp,1,9558,29,0,0.001300332,,,
28,58,https://instagram.com/photo_ara,2,9975,277,3,0.006015038,,,
29,60,https://instagram.com/mixmansion,43,10555,4300,347,0.004388026,,,
30,61,https://instagram.com/nanikkahiphee,10,9872,1195,59,0.005443969,,,
31,64,https://instagram.com/naya_lemi,3,11221,79,4,0.001056692,,,
32,71,https://instagram.com/sophyteacher_,33,9850,9147,27,0.012095722,,,
33,72,https://instagram.com/threesunmami,33,8746,1815,479,0.003406381,,,
34,74,https://instagram.com/rini_room_,18,7997,3271,69,0.009944205,,,
